subzone,cases,normalize by sum,normalize by max,lat,lon,area,population
Simpang South,0,0,0,103.7665466,1.375280396,0.915636694,0
Singapore General Hospital,0,0,0,103.8238908,1.298462569,1.352654951,10
Singapore Polytechnic,0,0,0,103.8422603,1.339472076,1.042310073,160
Somerset,0,0,0,103.8539692,1.306935959,0.279648198,130
Southern Group,0,0,0,103.7380004,1.379658123,0.866928751,0
Springleaf,0,0,0,103.7183051,1.431187478,17.5802577,3880
Straits View,0,0,0,103.7536522,1.356597274,1.09034073,0
Sudong,0,0,0,103.7088285,1.326549838,1.890403914,0
Sungei Road,0,0,0,103.8313612,1.374257436,0.898863284,2420
Sunset Way,0,0,0,103.8459856,1.392755128,1.470403374,6290
Swiss Club,0,0,0,103.8144278,1.404884804,2.217446348,5550
Tagore,0,0,0,103.9059536,1.415506596,1.366632873,8350
Tai Seng,0,0,0,103.7950563,1.308363582,0.461766362,14700
Taman Jurong,0,0,0,103.8381804,1.36791673,0.691272328,36940
Tampines East,71,0.102011494,0.676190476,103.9683352,1.331939107,7.871890221,138500
Tampines North,0,0,0,103.7549076,1.382648551,1.006460328,0
Tampines West,2,0.002873563,0.019047619,103.8650652,1.444047982,1.619157761,78110
Tanglin,0,0,0,103.6735852,1.302097645,1.778035337,390
Tanglin Halt,0,0,0,103.8361034,1.458100916,1.548276171,13160
Tanjong Irau,0,0,0,103.7961414,1.30176514,0.50565037,0
Tanjong Pagar,0,0,0,103.8727708,1.287990986,1.852962255,520
Tanjong Rhu,0,0,0,103.8457541,1.293751467,0.386952323,11310
Teban Gardens,0,0,0,103.9111212,1.380891582,0.929364809,19080
Teck Whye,0,0,0,103.9486368,1.314086272,2.562788797,27040
Telok Blangah Drive,0,0,0,103.971146,1.376739153,2.125053937,16000
Telok Blangah Rise,0,0,0,103.8520884,1.309260535,0.249086578,13820
Telok Blangah Way,0,0,0,103.6524399,1.337763403,2.262042457,10690
Tengah,0,0,0,103.7622664,1.42070892,3.307454232,10
Tengeh,0,0,0,103.7548901,1.307987191,1.319267102,0
The Wharves,0,0,0,103.7841612,1.438975389,0.598563407,0
Tiong Bahru,0,0,0,103.720068,1.34940949,1.802157052,12190
Tiong Bahru Station,0,0,0,103.8290464,1.418189678,1.43990569,16670
Toa Payoh Central,0,0,0,103.7436114,1.31520001,3.202992009,30740
Toa Payoh West,0,0,0,103.8524769,1.384095432,1.870929356,13360
Toh Guan,0,0,0,103.8254828,1.452254864,1.267823323,16510
Toh Tuck,0,0,0,103.8651528,1.374059838,0.925909465,40
Townsville,0,0,0,103.897793,1.317339908,2.59155734,23770
Trafalgar,5,0.007183908,0.047619048,103.8750828,1.325756822,0.967863151,44800
Tuas Bay,0,0,0,103.9197294,1.31485263,4.317917117,20
Tuas North,0,0,0,103.6945553,1.334099885,2.108328036,20
