Source,Target,Weight
Pasir Ris Central,Jurong Gateway,35
Senja,Anak Bukit,53
Holland Road,Mountbatten,6
Kent Ridge,Holland Drive,17
Aljunied,Fort Canning,161
Balestier,Western Water Catchment,31
Kampong Java,Rochor Canal,29
Pasir Ris Park,Bedok North,88
Everton Park,Kembangan,8
Tampines East,Sungei Road,19
Compassvale,Boon Teck,7
Bendemeer,Tanjong Rhu,62
China Square,Kallang Way,18
Trafalgar,Fernvale,397
Balestier,Sembawang Central,99
Western Water Catchment,Boon Lay Place,101
Singapore General Hospital,Jurong West Central,193
Aljunied,Serangoon North,34
Sengkang West,Aljunied,10
Hougang East,Sengkang Town Centre,75
Serangoon Garden,Woodlands East,77
Serangoon Central,Woodlands West,15
Toa Payoh West,Bukit Batok Central,6
Lavender,Woodgrove,67
Lavender,Boulevard,128
Upper Thomson,Nassim,71
Gul Circle,Tengeh,8
Hougang Central,Balestier,70
Saujana,Bangkit,47
Sentosa,Crawford,32
Hillview,Swiss Club,89
Trafalgar,Hong Kah North,12
Tanjong Rhu,Kampong Java,41
Ulu Pandan,Mandai East,1
Farrer Park,Changi Airport,50
Senoko West,Jurong West Central,24
Potong Pasir,Upper Paya Lebar,33
Ulu Pandan,North Coast,9
Changi Point,Marina Centre,14
Dhoby Ghaut,Hougang Central,107
Aljunied,Nassim,76
Anson,Flora Drive,3
Telok Blangah Rise,Bedok North,4
Sembawang Central,Fernvale,29
Boon Lay Place,Clementi North,54
Geylang East,Kangkar,52
Bedok North,Bukit Batok Central,11
Bukit Batok South,Bugis,30
Chong Boon,Woodlands East,65
Simei,Katong,89
Telok Blangah Drive,Joo Seng,27
Khatib,Ang Mo Kio Town Centre,55
Little India,Guilin,25
Tampines North,Lorong Ah Soo,44
Kovan,Goodwood Park,3
Hougang Central,Anson,3
Tanjong Rhu,Chatsworth,38
Kampong Bugis,Tagore,3
Tampines East,Boon Lay Place,45
Swiss Club,Teck Whye,26
Bangkit,Choa Chu Kang Central,64
Shangri-La,Orange Grove,12
Yew Tee,Guilin,72
Tiong Bahru Station,Siglap,6
Nee Soon,Telok Blangah Drive,5
Farrer Park,Gali Batu,42
Northland,Keat Hong,16
Kaki Bukit,Clementi Central,16
Sembawang Central,Hong Kah North,24
Kampong Ubi,Anak Bukit,33
Serangoon North,Braddell,12
Orange Grove,Tampines West,8
Singapore General Hospital,Port,9
Faber,Tengeh,2
Bukit Batok Central,Changi Point,6
Serangoon Central,Tanjong Pagar,14
Goodwood Park,Joo Seng,5
Clementi Woods,Wenya,5
Jelebu,Tanjong Rhu,38
Trafalgar,Frankel,31
Shangri-La,North Coast,27
Joo Koon,Woodlands East,26
Tuas Promenade,Geylang Bahru,9
Penjuru Crescent,Kallang Way,2
Changi Point,Maritime Square,5
Clarke Quay,Institution Hill,31
Bras Basah,Clarke Quay,10
Tyersall,Tai Seng,11
Anson,Tampines East,15
Kaki Bukit,Serangoon North Ind Estate,20
Frankel,Braddell,18
Toa Payoh Central,Tiong Bahru,18
Moulmein,Tiong Bahru Station,23
Bukit Merah,Woodlands Regional Centre,5
Punggol Field,Anchorvale,107
Sunset Way,Clementi West,6
West Coast,Singapore General Hospital,6
Boon Teck,Paya Lebar East,3
Senoko West,Townsville,8
Pasir Panjang 2,Kaki Bukit,11
Yunnan,Peng Siang,69
Potong Pasir,Alexandra Hill,17
Jurong Island and Bukom,Woodlands West,12
One Tree Hill,Braddell,12
Serangoon Garden,Pei Chun,27
Hong Kah North,Clementi North,60
Xilin,Anchorvale,37
Jurong West Central,Bukit Merah,21
Hougang East,Dairy Farm,4
Seletar Aerospace Park,Crawford,2
Yishun West,Hougang East,20
Mandai East,Hong Kah,7
Alexandra Hill,Boat Quay,21
Newton Circus,Pearl's Hill,6
Everton Park,Clarke Quay,16
Seletar Hills,Jurong River,1
Toh Guan,Chong Boon,14
Upper Paya Lebar,Bukit Merah,3
Bangkit,Bencoolen,36
Anchorvale,Bedok Reservoir,16
Teban Gardens,Yuhua East,33
Yishun West,Marymount,43
Ang Mo Kio Town Centre,Yio Chu Kang North,11
Tanjong Rhu,Kranji,6
Shangri-La,Simei,11
Tanjong Pagar,Marina South,2
Fort Canning,Taman Jurong,24
Sembawang Central,Frankel,17
Tanjong Rhu,Kebun Bahru,10
Mount Pleasant,Aljunied,33
Compassvale,Bencoolen,21
Sunset Way,Fajar,10
Senoko South,Bayfront Subzone,8
Paya Lebar East,Frankel,7
Tampines North,One Tree Hill,1
Yew Tee,Penjuru Crescent,6
Matilda,Leedon Park,9
Keat Hong,Lorong Halus,2
Kent Ridge,Tyersall,12
Dover,Tanglin,7
Hillview,Leedon Park,25
Tuas View Extension,Depot Road,4
Gombak,Tanjong Pagar,6
Bencoolen,Pasir Panjang 2,4
Singapore General Hospital,Townsville,10
Tampines West,Straits View,3
Geylang Bahru,Pasir Ris West,6
Punggol Field,Changi West,14
Tiong Bahru,Kallang Bahru,20
Yishun East,Cairnhill,28
Lower Seletar,Seletar Hills,22
Bugis,Marina South,20
Sengkang West,Paya Lebar North,3
Sunset Way,Telok Blangah Drive,8
Bayshore,Seletar,7
Geylang East,Clifford Pier,6
Leedon Park,Bukit Merah,5
Kampong Java,Upper Thomson,73
Serangoon North Ind Estate,Waterway East,11
Kim Keat,Upper Paya Lebar,4
Bedok North,Lorong Halus North,9
Yishun West,Tuas Promenade,23
Saujana,Geylang East,22
Bidadari,Victoria,9
Paya Lebar North,Serangoon Central,12
Holland Drive,Serangoon Central,18
Dover,Kallang Way,6
Toh Tuck,Kranji,2
Chinatown,Changi Point,3
Hillview,Yunnan,23
China Square,Tanglin,1
Cecil,Bras Basah,5
Hougang West,Alexandra Hill,23
Tyersall,Jurong Island and Bukom,2
National University of S'pore,Ang Mo Kio Town Centre,6
Xilin,Chong Boon,25
West Coast,Wenya,2
Gul Circle,Tuas Bay,9
Bukit Batok East,Toa Payoh Central,19
Clementi Central,Kangkar,4
Clementi Woods,Macpherson,3
Sembawang North,Pasir Ris Drive,10
Matilda,Townsville,24
Somerset,Pasir Ris Park,11
Samulun,Lakeside,6
National University of S'pore,Pei Chun,3
Yio Chu Kang North,Kallang Bahru,9
Marina Centre,Pasir Panjang 2,7
Bukit Batok South,Chin Bee,11
Kranji,Tuas View,10
Kampong Tiong Bahru,Balestier,18
Pasir Ris Park,Paya Lebar North,5
Pang Sua,Katong,3
National University of S'pore,Bishan East,50
Tuas View,Bukit Batok Central,15
Kembangan,One North,13
Tuas View,Serangoon Central,7
Kampong Tiong Bahru,Central Water Catchment,6
Tanjong Rhu,Choa Chu Kang North,16
Gul Circle,Little India,8
Lorong Chuan,Kampong Ubi,16
Toh Tuck,Kampong Java,6
Geylang Bahru,Tampines North,6
Tuas View Extension,Bangkit,9
Robertson Quay,Farrer Court,6
Joo Koon,Pei Chun,2
One North,Peng Siang,12
Pasir Ris Central,Yio Chu Kang North,7
Kebun Bahru,Pasir Panjang 2,2
Toh Tuck,Chatsworth,6
Chin Bee,Sentosa,7
Fajar,Khatib,13
Springleaf,Trafalgar,6
Tanjong Rhu,Dunearn,11
Marina East (MP),Somerset,1
Seletar,Nassim,4
Compassvale,Yio Chu Kang East,13
Ang Mo Kio Town Centre,Jurong Gateway,21
Ridout,City Terminals,8
Ulu Pandan,Simei,7
Bukit Batok East,Greenwood Park,1
Dunearn,Redhill,3
Little India,Penjuru Crescent,4
Marine Parade,International Business Park,7
Xilin,Changi West,33
North-Eastern Islands,Yuhua West,2
Jurong Gateway,International Business Park,14
Khatib,Pei Chun,7
Tagore,Mountbatten,10
Toh Tuck,Choa Chu Kang North,14
Changi West,Anak Bukit,3
Nee Soon,Bukit Ho Swee,3
Istana Negara,Geylang Bahru,7
Rochor Canal,Pasir Ris Drive,24
Bayfront Subzone,Sembawang North,7
Bayshore,Singapore Polytechnic,4
Jurong Port,Alexandra Hill,1
Western Water Catchment,Victoria,16
Woodlands Regional Centre,Lorong Chuan,5
Taman Jurong,Anson,4
Holland Road,Central Subzone,6
Katong,Oxley,6
Nee Soon,Fajar,12
Alexandra Hill,Seletar Hills,9
Taman Jurong,Malcolm,4
Port,Woodlands East,11
Clementi West,Benoi Sector,3
Jurong River,China Square,2
North Coast,Faber,15
Redhill,Pearl's Hill,19
Punggol Field,Ridout,6
Robertson Quay,Choa Chu Kang Central,2
Hougang West,Upper Paya Lebar,25
Bukit Ho Swee,Mandai East,6
Kim Keat,Serangoon Garden,9
Townsville,Anak Bukit,11
Pasir Panjang 1,Pioneer Sector,1
Sunset Way,Bukit Ho Swee,4
Sembawang North,Jelebu,8
Jurong Island and Bukom,Senoko South,14
Sembawang Straits,Sembawang East,6
Boon Keng,Kim Keat,6
Anchorvale,Teck Whye,7
Senoko West,Port,6
Waterway East,Sembawang Central,9
Cheng San,Clementi North,10
Bencoolen,Tampines North,8
Tyersall,Saujana,9
Bayshore,Toa Payoh West,3
Pasir Panjang 2,Lavender,6
Kangkar,Yio Chu Kang,8
Sengkang Town Centre,Lorong 8 Toa Payoh,19
Tuas View Extension,Geylang East,14
Tuas North,Fort Canning,3
Queensway,Margaret Drive,18
Kampong Bugis,Paya Lebar East,3
Boat Quay,Everton Park,8
Kangkar,Seletar,6
Marina South,Western Water Catchment,5
Lorong Chuan,Bukit Batok East,4
Seletar,Fort Canning,3
City Terminals,People's Park,1
Samulun,Kembangan,3
Serangoon Central,Senoko South,27
Nee Soon,Hillview,4
Pandan,Geylang Bahru,3
City Terminals,Plab,3
Tiong Bahru Station,Bedok Reservoir,5
Hougang East,Telok Blangah Rise,5
Tampines North,Gali Batu,13
Woodgrove,Telok Blangah Way,4
Yio Chu Kang West,International Business Park,1
Ulu Pandan,Orange Grove,7
Tanglin,Teck Whye,2
Dunearn,Tuas North,1
Tuas Bay,Shipyard,8
Sungei Road,Hillcrest,1
Swiss Club,Bedok Reservoir,10
Toh Guan,Changi West,3
Teban Gardens,People's Park,1
Monk's Hill,Bayfront Subzone,1
Holland Road,Chinatown,14
Kangkar,Singapore Polytechnic,2
Wenya,Loyang West,2
Yishun Central,Northshore,1
Tampines North,Mackenzie,3
Reservoir View,Defu Industrial Park,3
Bangkit,Yio Chu Kang East,7
Cairnhill,Alexandra Hill,8
Kent Ridge,Commonwealth,10
Hougang Central,Yishun Central,3
Faber,Little India,2
Gombak,Senoko South,3
Chatsworth,Paya Lebar East,2
Kembangan,Keat Hong,9
Hougang East,Leonie Hill,2
Clarke Quay,Lower Seletar,13
Paya Lebar North,Bukit Batok Central,1
Straits View,Reservoir View,1
Toh Guan,Ridout,3
Pasir Ris Park,Raffles Place,6
Bangkit,Boon Teck,6
Paterson,Tiong Bahru,2
Chinatown,Compassvale,12
Kian Teck,Yio Chu Kang East,1
Bayshore,Yio Chu Kang,6
Mackenzie,Clementi North,2
Margaret Drive,Pasir Ris West,4
Lavender,Kampong Tiong Bahru,7
Tuas View Extension,City Hall,3
Yishun East,Coronation Road,7
Admiralty,Katong,2
Sunset Way,Hillview,11
Pasir Ris Wafer Fab Park,Upper Thomson,4
Woodlands Regional Centre,Shipyard,4
Woodleigh,Sembawang Hills,1
Depot Road,Marina South,3
Sentosa,Maxwell,2
Clementi North,Telok Blangah Way,12
Rochor Canal,Jelebu,4
Tengah,Siglap,1
Cecil,Boon Keng,3
Pasir Panjang 1,Hougang Central,3
Kim Keat,Alexandra Hill,6
Rivervale,Benoi Sector,2
Sembawang East,Jurong Island and Bukom,1
Gul Circle,Sunset Way,1
Robertson Quay,Choa Chu Kang North,3
Kian Teck,Boon Teck,2
Liu Fang,Telok Blangah Way,2
Seletar,Serangoon North,1
Kampong Java,Mandai Estate,1
Bukit Batok Central,Liu Fang,5
Toh Guan,Anchorvale,11
City Terminals,Yuhua East,6
Gombak,Woodlands West,6
Toa Payoh Central,Plab,1
Kangkar,Toa Payoh West,5
Telok Blangah Way,Western Water Catchment,2
Taman Jurong,Pasir Ris Wafer Fab Park,3
Chatsworth,Tagore,5
Tengah,City Terminals,3
Xilin,Ridout,1
Loyang East,Somerset,1
Leedon Park,Hong Kah,8
Kian Teck,Kent Ridge,5
Boon Teck,Tagore,5
Bukit Batok Central,Compassvale,5
Penjuru Crescent,Tengah,1
Sembawang Springs,Lorong Halus,1
Kian Teck,Bencoolen,4
Bukit Ho Swee,Benoi Sector,2
Serangoon North Ind Estate,Sentosa,1
Toh Tuck,Dunearn,2
Plab,Guilin,1
Telok Blangah Rise,Rochor Canal,2
Penjuru Crescent,Tanglin,1
Siglap,Oxley,2
Paya Lebar East,Fernvale,2
Kampong Tiong Bahru,Pasir Ris Wafer Fab Park,2
Tuas Promenade,Sengkang West,3
North-Eastern Islands,Victoria,2
Crawford,Tuas View Extension,1
Yishun East,Shipyard,2
Marina East (MP),Serangoon North Ind Estate,1
Bedok Reservoir,Clementi Woods,3
Tagore,Central Subzone,2
Lower Seletar,Cecil,1
Turf Club,Robertson Quay,1
Teck Whye,Sembawang Hills,1
Margaret Drive,Tampines North,1
Bidadari,Boon Lay Place,1
Toh Tuck,Kebun Bahru,1
Malcolm,Trafalgar,3
Ghim Moh,Pasir Panjang 2,5
Northshore,Pasir Panjang 1,1
Yishun South,Seletar,3
Lakeside,Tiong Bahru Station,3
Kampong Tiong Bahru,Yishun Central,1
North-Eastern Islands,Bendemeer,1
Sembawang Springs,City Terminals,1
Pasir Panjang 2,One Tree Hill,3
Hougang Central,Pasir Ris Wafer Fab Park,2
Hougang Central,Malcolm,2
Sengkang Town Centre,Tukang,2
The Wharves,Hong Kah,4
Selegie,Chong Boon,1
Punggol Town Centre,Wenya,1
Lorong Chuan,Brickworks,1
Alexandra North,Tampines North,1
Nee Soon,Clementi West,1
Senoko South,Mandai West,1
Changi Bay,Senja,1
Pasir Ris Wafer Fab Park,Rochor Canal,2
Paya Lebar East,Hong Kah North,1
Kampong Glam,Yuhua East,2
Hillcrest,Marina South,3
Mount Pleasant,Newton Circus,2
Leonie Hill,Tukang,1
Ridout,Lorong Halus,1
Telok Blangah Way,Sembawang Central,2
Dhoby Ghaut,Pioneer Sector,1
Tuas North,Gombak,1
Cecil,Nee Soon,1
Oxley,Lorong Chuan,1
Mei Chin,Kampong Glam,1
Joo Seng,Marina South,10
Tampines East,Bedok North,1315
Jurong West Central,Choa Chu Kang North,112
Yishun East,Changi Airport,125
Boon Teck,Anchorvale,8
Pandan,Taman Jurong,19
Woodlands Regional Centre,Changi Airport,44
Port,Choa Chu Kang Central,14
Kampong Java,Sennett,10
Tampines North,Bedok South,37
Pasir Ris Central,Singapore General Hospital,46
Bugis,Somerset,159
Bukit Ho Swee,Bishan East,23
City Hall,Somerset,191
Fernvale,Gul Basin,3
Bedok South,Redhill,36
Jurong West Central,Kranji,38
Taman Jurong,Kian Teck,131
Woodlands West,City Hall,40
Geylang East,Compassvale,85
Jurong West Central,Kampong Java,39
Simei,Central Water Catchment,29
Balestier,Sembawang Springs,22
Choa Chu Kang North,Jurong West Central,184
Marine Parade,Kaki Bukit,84
Bukit Batok West,North Coast,40
Kembangan,Bedok Reservoir,59
Lorong 8 Toa Payoh,Bedok North,29
Marina East,Bendemeer,5
Upper Thomson,Tampines East,107
Jurong Port,Hong Kah,32
Cairnhill,Tampines West,34
Yio Chu Kang West,Lavender,36
Marina Centre,North Coast,33
Pasir Ris Drive,Plab,7
Serangoon Central,Little India,38
Chinatown,Boon Keng,13
Admiralty,Balestier,19
Serangoon Garden,Bencoolen,45
Kebun Bahru,North Coast,39
Aljunied,Tampines East,574
Bencoolen,Simei,22
Simei,Yishun Central,2
Flora Drive,Tampines East,197
Chatsworth,Ridout,62
Jurong Gateway,Lorong Ah Soo,19
Yew Tee,Boon Lay Place,31
Senoko South,Woodlands West,41
Ang Mo Kio Town Centre,Fajar,10
Yuhua East,Yuhua West,105
Ridout,Mount Pleasant,6
Tukang,Seletar,3
Serangoon Garden,Farrer Court,7
Seletar,Tampines East,27
Simei,Balestier,76
Toa Payoh Central,Kallang Bahru,85
Changi Point,Hillcrest,2
Nassim,Bras Basah,67
Nee Soon,Mountbatten,14
Rivervale,Bishan East,56
Yishun South,Mandai East,25
Kebun Bahru,Simei,18
Robertson Quay,Chin Bee,4
Boulevard,Woodgrove,101
Xilin,Katong,30
Clarke Quay,City Terminals,6
Pasir Panjang 1,People's Park,5
Kranji,One North,13
Woodlands Regional Centre,Gali Batu,17
Marina Centre,Simei,112
Ang Mo Kio Town Centre,Bukit Ho Swee,4
Sembawang Springs,Yishun South,83
Tanjong Pagar,Somerset,47
Punggol Field,Katong,31
Bedok North,Paya Lebar East,31
Marymount,Senoko North,3
Kallang Bahru,Seletar Hills,8
Woodlands East,Xilin,41
Lorong Halus,Toh Guan,3
Midview,Chong Boon,13
Keat Hong,Mount Pleasant,8
Pang Sua,Midview,10
Tampines East,Rochor Canal,69
Pulau Punggol Timor,Matilda,46
Nature Reserve,North Coast,42
Margaret Drive,Serangoon Garden,10
Little India,Henderson Hill,12
Kampong Ubi,Dairy Farm,8
Woodleigh,Macpherson,20
Mandai Estate,Upper Thomson,7
Bayfront Subzone,Lower Seletar,17
Maritime Square,Chong Boon,64
Upper Paya Lebar,Choa Chu Kang North,8
Tai Seng,Kovan,43
Western Water Catchment,Bedok North,26
Safti,Yunnan,47
Clarke Quay,Siglap,5
People's Park,Bukit Batok Central,4
Macpherson,Anak Bukit,19
Chinatown,Bras Basah,19
Boulevard,Kampong Tiong Bahru,22
Woodlands East,Hougang West,38
Hong Kah,Phillip,8
Serangoon Central,Sunset Way,3
Choa Chu Kang North,Townsville,6
Tuas Bay,Changi Airport,6
Khatib,Yio Chu Kang East,14
Yew Tee,Victoria,31
Jurong West Central,Kebun Bahru,8
Trafalgar,Holland Drive,14
Choa Chu Kang North,Port,26
Little India,Yuhua West,32
Yio Chu Kang East,Chong Boon,28
Sengkang Town Centre,Joo Seng,64
Pasir Ris Drive,Tiong Bahru,7
Sembawang East,Sembawang Central,13
Tampines West,Hillview,14
Boon Teck,Chong Boon,17
Tuas Promenade,Taman Jurong,44
Guilin,Toa Payoh Central,23
Yishun South,Benoi Sector,3
Yuhua West,Yew Tee,49
Aljunied,Flora Drive,35
Yishun Central,Kampong Ubi,9
Boulevard,Boulevard,10
Nature Reserve,Mandai East,5
Cecil,Reservoir View,3
Boon Teck,Ridout,2
Admiralty,Central Water Catchment,8
Kebun Bahru,Orange Grove,13
Joo Koon,Farrer Court,7
Tampines West,Clementi West,5
Hougang East,Clementi North,6
Pei Chun,Ulu Pandan,6
Upper Thomson,Flora Drive,12
Bedok South,Pasir Ris West,53
Chin Bee,Woodgrove,19
Pearl's Hill,Everton Park,35
Henderson Hill,Nee Soon,5
Woodlands Regional Centre,Mackenzie,15
Jurong West Central,Chatsworth,7
Orange Grove,Marina Centre,11
Marine Parade,Lavender,54
Airport Road,Lavender,1
Little India,Boon Lay Place,27
Siglap,Guilin,6
Anak Bukit,Matilda,22
Joo Koon,Choa Chu Kang Central,13
Commonwealth,Redhill,17
Rivervale,Pei Chun,15
Tiong Bahru,Frankel,14
Nature Reserve,Simei,7
Everton Park,Dhoby Ghaut,19
Hougang West,Bukit Merah,7
Geylang Bahru,Serangoon Garden,17
International Business Park,Bishan East,7
Bedok North,Tagore,10
Ghim Moh,Simei,5
National University of S'pore,Boon Teck,2
Robertson Quay,Bugis,14
Simei,Midview,18
Rivervale,Ang Mo Kio Town Centre,41
Ghim Moh,North Coast,18
Bukit Batok Central,Airport Road,1
International Business Park,Teban Gardens,86
Tiong Bahru,Fernvale,18
Peng Siang,Xilin,13
Tampines North,Holland Road,5
Senoko North,Serangoon North Ind Estate,3
Springleaf,Khatib,16
Yuhua West,Kovan,7
Yishun West,Sembawang Hills,15
Institution Hill,Ghim Moh,6
Simei,Margaret Drive,23
West Coast,Pasir Panjang 1,8
Nassim,Boon Keng,26
Jurong Gateway,Lavender,36
Singapore General Hospital,Tampines West,43
Balestier,Bukit Batok East,11
Pang Sua,Kampong Bugis,2
Dhoby Ghaut,Yuhua East,9
Bukit Batok West,Orange Grove,12
City Terminals,Kallang Bahru,10
Upper Paya Lebar,Kebun Bahru,8
Simei,Seletar Aerospace Park,5
Kallang Bahru,Boat Quay,9
Khatib,Boon Teck,10
Tanglin,Pasir Ris Park,2
Chin Bee,Boulevard,17
Hillcrest,Somerset,45
Lower Seletar,Kangkar,5
Moulmein,Pulau Punggol Timor,8
Boon Keng,Pearl's Hill,37
Boat Quay,Kembangan,14
Yio Chu Kang,Lorong 8 Toa Payoh,17
Choa Chu Kang Central,Keat Hong,33
Central Water Catchment,Joo Seng,33
Gali Batu,Everton Park,12
Toa Payoh West,Tagore,6
Tampines West,Bukit Ho Swee,19
Pasir Panjang 2,Crawford,7
Admiralty,Midview,13
Senoko West,Tampines West,25
Faber,Moulmein,5
Pei Chun,Matilda,9
Sunset Way,Mountbatten,2
Farrer Court,Bukit Batok East,2
Kampong Bugis,Anchorvale,11
One North,Geylang Bahru,6
Leedon Park,Chatsworth,26
National University of S'pore,Kent Ridge,12
Marina Centre,Mandai East,8
Leedon Park,Kampong Java,11
Woodlands South,Pasir Ris Central,30
Hong Kah,Selegie,6
Pang Sua,Margaret Drive,5
Sembawang North,Redhill,3
Bendemeer,Mount Emily,3
Chatsworth,Anchorvale,4
Upper Paya Lebar,Kampong Java,16
Benoi Sector,Midview,3
Yio Chu Kang West,Lorong Ah Soo,21
Commonwealth,Tuas North,5
Woodlands Regional Centre,Lorong Ah Soo,15
Mandai East,Kranji,7
Sembawang Central,Tukang,5
Tai Seng,Yew Tee,9
Swiss Club,Springleaf,6
Chong Boon,Choa Chu Kang Central,13
Tampines West,Telok Blangah Drive,22
Cecil,Coronation Road,5
Kranji,Keat Hong,5
Central Subzone,Kovan,6
Admiralty,Yishun Central,13
Mount Emily,Henderson Hill,1
Teck Whye,Wenya,10
Senoko South,Queensway,2
Hougang West,Hong Kah,12
Tukang,Toa Payoh West,1
Tampines North,Sembawang East,4
Lorong Halus,Potong Pasir,6
Changi West,Dairy Farm,1
Peng Siang,Hougang West,6
Little India,Victoria,15
Gombak,Sunset Way,6
Pang Sua,Seletar Aerospace Park,7
Benoi Sector,Seletar Aerospace Park,3
Tuas North,Trafalgar,4
Plab,Victoria,5
Potong Pasir,Hong Kah,8
Mandai East,Kampong Java,11
Sunset Way,Chinatown,4
Kampong Tiong Bahru,Kian Teck,6
Yio Chu Kang North,Fernvale,25
Geylang East,Changi Point,25
Kembangan,Teck Whye,7
Ulu Pandan,Woodlands East,14
Clementi West,Ang Mo Kio Town Centre,4
Yishun East,Gali Batu,8
Yunnan,Geylang Bahru,7
Jurong Island and Bukom,Little India,11
Leonie Hill,Tanglin,5
Keat Hong,Yishun South,15
Kampong Bugis,Chong Boon,10
Yuhua East,Bendemeer,7
Lavender,Clementi Woods,12
Tiong Bahru,Hong Kah North,6
Ridout,Yishun South,5
Hougang Central,Kian Teck,6
Marina Centre,Orange Grove,18
Kent Ridge,Lower Seletar,3
Kallang Way,Sengkang West,3
Sembawang North,Tuas North,11
Anchorvale,Springleaf,7
Kampong Bugis,Changi West,3
The Wharves,Kranji,4
Henderson Hill,Bras Basah,9
Serangoon North Ind Estate,Istana Negara,6
Bishan East,Phillip,24
Kim Keat,Hong Kah,6
Dairy Farm,Benoi Sector,3
Northland,Peng Siang,16
Pasir Ris West,Lorong 8 Toa Payoh,10
Clementi West,Woodlands East,18
Khatib,Bencoolen,17
Turf Club,Yishun East,7
Mei Chin,Malcolm,3
Pasir Ris Wafer Fab Park,Defu Industrial Park,4
Queensway,Boulevard,13
Queensway,Woodgrove,2
Rochor Canal,Tuas North,1
Woodlands West,Depot Road,1
Tampines West,Fajar,16
Bukit Merah,Wenya,2
Bayfront Subzone,Institution Hill,9
Pang Sua,Central Water Catchment,11
Khatib,Kent Ridge,2
Greenwood Park,Kallang Bahru,1
Serangoon North Ind Estate,Robertson Quay,2
Boat Quay,Xilin,7
Maritime Square,Changi West,9
Seletar Aerospace Park,Admiralty,3
Faber,Woodlands South,3
Sengkang Town Centre,Tengah,1
Orange Grove,Maritime Square,8
One Tree Hill,Jurong River,2
Henderson Hill,Boon Keng,5
Bencoolen,Orange Grove,20
Tuas Bay,Gali Batu,2
Teck Whye,Macpherson,10
Tiong Bahru Station,Telok Blangah Way,11
Airport Road,Lorong Ah Soo,6
Farrer Park,Sembawang East,1
Jurong West Central,Dunearn,4
Kampong Java,Defu Industrial Park,8
Bugis,Istana Negara,5
Bukit Batok East,Nature Reserve,15
Katong,Guilin,6
The Wharves,Choa Chu Kang North,6
Marina South,Joo Koon,4
Tagore,Seletar,5
Bukit Ho Swee,Pei Chun,9
Woodlands West,Clementi Central,9
Admiralty,Margaret Drive,2
Tiong Bahru Station,Springleaf,3
Malcolm,Loyang West,2
Kovan,Hong Kah North,9
Bukit Batok South,Samulun,4
Coronation Road,Paterson,3
Clementi Central,Changi Point,4
Anchorvale,Pasir Ris Park,9
Plab,Yuhua West,6
Bayfront Subzone,National University of S'pore,2
Bidadari,Rochor Canal,15
Geylang Bahru,Orange Grove,7
Serangoon Garden,Choa Chu Kang Central,12
Oxley,Changi Airport,5
Senoko North,Somerset,5
Chin Bee,Kampong Tiong Bahru,5
Ulu Pandan,Pei Chun,4
Clementi Central,Compassvale,2
Bendemeer,West Coast,5
Mount Emily,Bendemeer,5
Marina East,Yuhua West,4
Flora Drive,Singapore Polytechnic,3
