Source,Target,Weight
Woodlands West,Greenwood Park,26
Kampong Java,Yuhua West,55
Marina South,Dhoby Ghaut,8
Fernvale,East Coast,14
Changi Point,Tampines West,63
Macpherson,Holland Road,6
City Hall,Faber,17
Potong Pasir,Redhill,7
Serangoon Garden,Simei,37
Clifford Pier,Serangoon Central,5
Bishan East,Serangoon North Ind Estate,5
Ghim Moh,Pasir Panjang 1,11
Yishun West,Maritime Square,106
Rochor Canal,Macpherson,31
Chong Boon,Simei,38
Penjuru Crescent,Tukang,10
Chong Boon,Orange Grove,9
Pasir Panjang 1,Balestier,11
Bayshore,Mountbatten,55
Kian Teck,Bishan East,10
Mandai East,Serangoon Garden,16
Guilin,Aljunied,29
Bukit Batok West,Pasir Panjang 1,5
Victoria,Telok Blangah Way,9
Moulmein,Farrer Park,80
Holland Road,Fajar,22
Sembawang East,Hougang West,5
Katong,City Hall,47
East Coast,Cheng San,3
Malcolm,Fort Canning,9
Serangoon Central,Bayfront Subzone,40
Marina Centre,Pasir Panjang 1,12
Compassvale,Pei Chun,3
Lavender,Kampong Bugis,21
Everton Park,Everton Park,25
Jelebu,Yishun South,10
Admiralty,Chong Boon,7
Liu Fang,City Terminals,13
Pasir Ris Central,Pandan,3
Waterway East,Tai Seng,11
Mackenzie,Dairy Farm,16
City Terminals,Kian Teck,17
Katong,Bangkit,9
Anchorvale,The Wharves,5
Serangoon Garden,North Coast,74
Yishun Central,Dhoby Ghaut,24
Dhoby Ghaut,Central Water Catchment,14
Bukit Merah,Tuas Promenade,10
Xilin,Tagore,6
Swiss Club,One North,15
Port,North Coast,47
Bencoolen,Pasir Panjang 1,5
Admiralty,Ridout,2
Yio Chu Kang,Goodwood Park,1
Tiong Bahru Station,National University of S'pore,18
Yishun East,Bras Basah,20
Changi West,Tiong Bahru Station,8
City Terminals,Pioneer Sector,5
Serangoon Garden,Benoi Sector,7
Leonie Hill,Fernvale,3
Woodleigh,Hougang East,3
Tampines East,Guilin,28
Leedon Park,Serangoon Garden,14
Mountbatten,Bayshore,53
Tagore,Hillview,11
Holland Road,Clementi West,20
Tuas North,Jurong Port,7
Western Water Catchment,Guilin,40
Kent Ridge,Bukit Batok South,4
Kangkar,Chinatown,13
Bangkit,Woodlands East,50
Pasir Ris Drive,Anson,2
Serangoon North Ind Estate,Woodleigh,4
Bedok South,Dover,20
Mountbatten,East Coast,41
Mount Pleasant,Yishun West,8
Yishun East,Nee Soon,23
Teban Gardens,Pioneer Sector,17
Macpherson,Bedok South,26
Kent Ridge,Frankel,2
Clementi North,City Terminals,18
Fernvale,Bayshore,12
Tyersall,Hougang West,10
Dairy Farm,Central Subzone,2
Tai Seng,Bencoolen,13
Jurong River,Yishun East,8
Defu Industrial Park,Joo Seng,21
Leedon Park,Upper Paya Lebar,5
Swiss Club,National University of S'pore,18
Choa Chu Kang Central,Jurong Island and Bukom,9
Fort Canning,Geylang Bahru,18
Hong Kah North,Dairy Farm,21
Port,Mandai East,4
Kallang Way,Bukit Batok East,4
Singapore Polytechnic,Phillip,3
Teck Whye,Tuas Promenade,20
Khatib,Benoi Sector,8
Hougang Central,Kampong Glam,4
Jurong Gateway,Gul Basin,7
Clementi Central,Cecil,7
Bras Basah,Everton Park,18
Orange Grove,Jurong West Central,23
China Square,Tukang,2
Simei,Ridout,12
Chinatown,Kangkar,17
Hong Kah,Serangoon North Ind Estate,2
One North,Keat Hong,20
Tanglin,One North,20
Mandai East,Alexandra Hill,8
Anchorvale,One North,8
Henderson Hill,Kangkar,3
Redhill,Kim Keat,2
Toh Guan,Tagore,10
Kallang Way,Joo Koon,8
Sengkang Town Centre,Tuas View Extension,6
Gul Circle,Senoko South,8
Holland Road,Bukit Ho Swee,18
International Business Park,Singapore Polytechnic,13
Seletar Hills,Braddell,10
Tampines North,Lorong Chuan,10
Woodleigh,Marymount,20
Changi Airport,Telok Blangah Way,17
Tagore,Bukit Ho Swee,4
Kembangan,Tuas View,4
Orange Grove,Port,2
Orange Grove,Townsville,7
Dhoby Ghaut,Margaret Drive,16
Geylang East,Seletar Hills,24
Raffles Place,Toh Guan,8
Punggol Town Centre,Woodlands Regional Centre,3
Punggol Field,Paya Lebar East,5
Bukit Batok South,Farrer Court,4
Gombak,Bayfront Subzone,7
Tuas Promenade,Peng Siang,14
Seletar Aerospace Park,Lavender,12
Boon Keng,Little India,23
Port,Simei,7
Clementi North,Siglap,5
Compassvale,Woodlands East,20
Teck Whye,Marymount,7
Tiong Bahru Station,One North,35
Kampong Java,Henderson Hill,10
Joo Koon,Simei,4
Sengkang West,Yishun West,9
Maritime Square,Lorong Halus North,4
Kampong Java,Boon Lay Place,24
Kranji,Tai Seng,5
Central Subzone,Yio Chu Kang East,4
Woodgrove,City Terminals,16
Jelebu,Mount Pleasant,5
Nature Reserve,Central Subzone,3
Waterway East,Jurong Island and Bukom,3
Kovan,Yuhua East,3
Kranji,Saujana,6
Dover,Tukang,4
Farrer Park,Cairnhill,14
Boon Lay Place,Telok Blangah Rise,3
Nature Reserve,Mountbatten,8
