subzone,cases,normalize by sum,normalize by max,population,pop_density,lon,lat,area
Robertson Quay,0,0,0,2420,5752.529016,103.8370419,1.291585948,0.509034898
Rochor Canal,0,0,0,10,9.051673665,103.8571563,1.303956263,0.120752542
Safti,0,0,0,0,0,103.6833916,1.335460509,1.53192358
Samulun,0,0,0,10,52.72075416,103.7022221,1.307374558,1.950064453
Saujana,0,0,0,25530,10900.85555,103.7666061,1.385591922,0.678275722
Selegie,0,0,0,270,189.4483958,103.8497978,1.302381295,0.049866168
Seletar,0,0,0,260,83.25143332,103.8824624,1.409901984,3.935160862
Seletar Aerospace Park,0,0,0,20,4.806057183,103.866375,1.413100892,3.639499935
Seletar Hills,5,0.007183908,0.047619048,13580,5752.440911,103.8675133,1.383831226,2.342018007
Semakau,0,0,0,0,0,103.7784504,1.202854561,2.199063531
Sembawang Central,6,0.00862069,0.057142857,29140,51900.02843,103.8177066,1.446502632,0.967143822
Sembawang East,0,0,0,90,42.73057613,103.8315551,1.447647479,0.761830771
Sembawang Hills,14,0.020114943,0.133333333,6890,1322.105942,103.8313612,1.374257436,0.898863284
Sembawang North,2,0.002873563,0.019047619,26860,14796.38635,103.8161395,1.455765245,1.401694571
Sembawang Springs,4,0.005747126,0.038095238,4290,1732.097933,103.8243074,1.441520843,1.104768065
Sembawang Straits,0,0,0,1700,571.6821247,103.8361034,1.458100916,1.548276171
Sengkang Town Centre,4,0.005747126,0.038095238,54680,132169.9474,103.8974615,1.39144181,1.462589953
Sengkang West,0,0,0,10,29.2064992,103.8607804,1.394720621,1.678159927
Senja,0,0,0,20200,100488.3375,103.7597817,1.385171785,0.627917508
Sennett,0,0,0,4540,4187.396099,103.8736547,1.332835659,0.871952091
Senoko North,0,0,0,20,18.58935344,103.8038293,1.463097616,2.252366964
Senoko South,0,0,0,20,12.20822681,103.8066062,1.453360189,1.750483169
Senoko West,0,0,0,20,13.36452248,103.7966418,1.451365366,0.910354346
Sentosa,0,0,0,1470,612.7987851,103.8275607,1.24900114,5.785765191
Serangoon Central,2,0.002873563,0.019047619,26480,10362.158,103.8703372,1.352433592,1.067040201
Serangoon Garden,27,0.038793103,0.257142857,39180,1049.601835,103.8666088,1.362911459,3.037828571
Serangoon North,0,0,0,17490,101361.4982,103.872642,1.37430497,0.688032273
Serangoon North Ind Estate,0,0,0,20,20.99201382,103.8651528,1.374059838,0.925909465
Shangri-La,14,0.020114943,0.133333333,18510,289348.6585,103.8381804,1.36791673,0.691272328
Shipyard,0,0,0,0,0,103.6894611,1.307237701,2.128726672
Siglap,10,0.014367816,0.095238095,6930,11307.70681,103.9270488,1.306670274,1.10313514
Simei,2,0.002873563,0.019047619,42710,39405.4081,103.9521287,1.340349058,2.792089656
Simpang North,0,0,0,0,0,103.8456683,1.447848393,3.467340149
Simpang South,0,0,0,0,0,103.855832,1.434178567,2.157568609
Singapore General Hospital,0,0,0,10,7.392868368,103.8343215,1.279706803,0.535588611
Singapore Polytechnic,0,0,0,160,153.5051844,103.7781092,1.312183431,0.95122892
Somerset,0,0,0,130,464.8697933,103.8390293,1.301491105,0.331029505
Southern Group,0,0,0,0,0,103.8472216,1.228940738,3.292671485
Springleaf,0,0,0,3880,220.7021118,103.8254003,1.403161577,2.219977386
Straits View,0,0,0,0,0,103.8585487,1.270492,1.132733209
Sudong,0,0,0,0,0,103.7248434,1.18609505,2.753963589
Sungei Road,0,0,0,2420,2692.289298,103.856696,1.305659595,0.116892764
Sunset Way,0,0,0,6290,4277.737736,103.7698264,1.325798046,0.969354069
Swiss Club,0,0,0,5550,2502.879046,103.7921361,1.340232591,3.483838813
Tagore,0,0,0,8350,6109.907178,103.8291986,1.386026344,3.350417105
Tai Seng,0,0,0,14700,31834.28073,103.8877,1.343051528,1.804767841
Taman Jurong,0,0,0,36940,53437.69525,103.7209418,1.334253193,1.49148377
Tampines East,71,0.102011494,0.676190476,138500,17594.24943,103.9528087,1.353547387,4.360866597
Tampines North,0,0,0,0,0,103.941813,1.368068922,2.555452253
Tampines West,2,0.002873563,0.019047619,78110,48241.12998,103.9359427,1.348218496,3.492053845
Tanglin,0,0,0,390,219.3432222,103.8256189,1.304976453,0.168347205
Tanglin Halt,0,0,0,13160,8499.775587,103.7961414,1.30176514,0.50565037
Tanjong Irau,0,0,0,0,0,103.8522573,1.454547108,1.07963235
Tanjong Pagar,0,0,0,520,280.6317282,103.8459848,1.276274341,0.146221328
Tanjong Rhu,0,0,0,11310,29228.40704,103.8753729,1.301240027,2.446354207
Teban Gardens,0,0,0,19080,20530.15115,103.7436114,1.31520001,3.202992009
Teck Whye,0,0,0,27040,10551.00601,103.7549076,1.382648551,1.006460328
